CustomerID,cluster,StockCode,Description
12358.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12363.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12367.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12372.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12374.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12375.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12379.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12384.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12390.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12391.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12399.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12403.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12412.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12413.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12420.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12421.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12422.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12427.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12430.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12434.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12436.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12442.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12445.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12448.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12452.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12458.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12462.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12463.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12464.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12465.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12478.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12479.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12488.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12491.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12492.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12498.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12504.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12507.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12508.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12510.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12512.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12513.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12516.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
12519.0,4,84879,ASSORTED COLOUR BIRD ORNAMENT
